Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
05-Feb-15,2851.1,2900.95,2845,2867.75,400696,1153530836
06-Feb-15,2870,2920.95,2849.95,2860.35,427819,1233640925
09-Feb-15,2840,2874,2811.1,2820.45,338991,959628270.3
10-Feb-15,2805,2806.6,2748.5,2762.5,712098,1971442103
11-Feb-15,2770,2858,2769.85,2841.75,721322,2021354996
12-Feb-15,2860,2915,2845.6,2909.3,349739,1008215547
13-Feb-15,2920,2922.4,2882.3,2886.55,341872,989366094.6
16-Feb-15,2895,2947.95,2891.75,2899.55,434838,1269372366
18-Feb-15,2879,2915,2857,2892.25,1161482,3359286009
19-Feb-15,2900,2900,2825.1,2830.15,749152,2135788054
20-Feb-15,2810,2826.35,2794.25,2810.2,388902,1092790069
23-Feb-15,2810,2842,2762.3,2778.75,538128,1516687128
24-Feb-15,2790.05,2808.05,2781,2791.3,436577,1220603930
25-Feb-15,2805,2808,2752.2,2762.55,656077,1819792682
26-Feb-15,2774.8,2774.8,2740,2748.1,1065119,2933539163
27-Feb-15,2752.95,2850,2741.7,2835.75,527367,1486991150
28-Feb-15,2856.4,2870,2801.4,2863.3,204608,581498697.9
02-Mar-15,2878.8,2895,2848.85,2860.05,410041,1173384556
03-Mar-15,2882,2913.6,2835.05,2908.5,503458,1452339999
04-Mar-15,2910,2939,2865.6,2879.5,550130,1594795092
05-Mar-15,2880,2912.8,2851.1,2878.15,431261,1243589871
09-Mar-15,2862,2862,2781,2811.35,642487,1807382299
10-Mar-15,2753.45,2846,2753.45,2839.8,628315,1774249378
11-Mar-15,2840.1,2943.75,2815,2921.65,1255021,3629092802
12-Mar-15,2938.35,2940.05,2852.25,2857,1110916,3200765117
13-Mar-15,2878,2878,2808,2818.4,709996,2011115360
16-Mar-15,2838,2840.45,2815,2827.95,1175512,3320901638
17-Mar-15,2844,2881.8,2830.9,2862.9,1286007,3686100134
18-Mar-15,2874,2880,2790,2800.5,3806886,10767394258
19-Mar-15,695,700.9,685,687.15,5621879,3883763060
20-Mar-15,688.95,690,673,678.3,3616042,2450359197
23-Mar-15,684,685.45,650.2,656.8,3672301,2419789502
24-Mar-15,661,667.5,652,659.65,3793847,2509742427
25-Mar-15,663,663,651,656.35,3053431,1999088115
26-Mar-15,656,665,648.15,651.15,3774322,2472735575
27-Mar-15,654,661.4,639,645.9,3223159,2088840105
30-Mar-15,647.9,652.75,618.65,626.95,3887546,2439992231
31-Mar-15,633.1,639.6,626.5,629.7,3125329,1979054935
01-Apr-15,630.5,638.7,629,632.7,4892589,3102145268
06-Apr-15,635.1,647.5,635.1,643.35,5050758,3249864183
07-Apr-15,646.35,656,644.95,652.85,1922672,1251902503
08-Apr-15,656.95,676,656,672.3,3505745,2345805207
09-Apr-15,679.9,680.6,662.8,670.4,1882337,1262849849
10-Apr-15,670.8,673.45,655,660.2,1675314,1107831305
13-Apr-15,664.7,674.4,650.65,664.4,1357726,902452452.1
15-Apr-15,664.4,671.65,656,659.85,3785304,2510734372
16-Apr-15,662.7,664.25,644.5,656.05,1850395,1207008123
17-Apr-15,652,653,634.15,641.05,2224178,1423115151
20-Apr-15,641,641,622.5,632.3,2301636,1451473198
21-Apr-15,624.05,644.25,622,637.5,1504719,958932622.4
22-Apr-15,635,635.9,622.6,629.8,3464944,2175098668
23-Apr-15,632.3,637.3,611.15,615.2,3887545,2401655454
24-Apr-15,611.7,614.7,578.1,587.5,3375425,2018678034
27-Apr-15,591.1,596.45,565.1,587.25,4643882,2706458403
28-Apr-15,587.9,612,580,608.6,1776573,1067420735
29-Apr-15,608,626.85,602.1,616.9,1729917,1067999147
30-Apr-15,616,625.8,598.3,621.35,2983762,1845919624
04-May-15,622.9,624.85,603,611.75,2859253,1753513902
